,postal_code,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,population,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
166,11229,15.6,29.4,3.6,8.8,7.2,22.7,9.3,2.3,1.1,81030,12640.68,23822.82,2917.08,7130.64,5834.16,18393.81,7535.79,1863.69,891.33
167,11230,15.6,24.9,3.5,9.9,8.8,22.4,10.8,2.4,1.7,84219,13138.164,20970.531,2947.665,8337.681,7411.272,18865.056,9095.652,2021.256,1431.723
168,11231,13.6,14.8,2.7,6.7,3.5,33.1,18.9,5.1,1.6,34137,4642.632,5052.276,921.699,2287.179,1194.795,11299.347,6451.893,1740.987,546.192
169,11232,35.8,22.9,3.5,10.3,4.4,13.1,7.6,1.3,1.1,28824,10318.992,6600.696,1008.84,2968.872,1268.256,3775.944,2190.624,374.712,317.064
170,11233,23.3,32.2,3.4,14.8,7,13.3,4.5,1,0.5,68599,15983.567,22088.878,2332.366,10152.652,4801.93,9123.667,3086.955,685.99,342.995
171,11234,11.3,29.2,4.3,14.2,9.6,19.3,9.4,1.8,0.9,94259,10651.267,27523.628,4053.137,13384.778,9048.864,18191.987,8860.346,1696.662,848.331
172,11235,10.3,25.1,2.4,9.6,10.1,28.4,9.4,3.3,1.4,74630,7686.89,18732.13,1791.12,7164.48,7537.63,21194.92,7015.22,2462.79,1044.82
173,11236,15.4,29.9,3.2,16.8,9.8,16.1,7.4,1.1,0.3,97217,14971.418,29067.883,3110.944,16332.456,9527.266,15651.937,7194.058,1069.387,291.651
174,11237,51,18.4,2,7.4,3.5,12.4,4.4,0.6,0.1,55478,28293.78,10207.952,1109.56,4105.372,1941.73,6879.272,2441.032,332.868,55.478
175,11238,10.1,14.5,2.6,11.8,5,30.9,18.3,4.7,2,51895,5241.395,7524.775,1349.27,6123.61,2594.75,16035.555,9496.785,2439.065,1037.9
176,11239,19.8,32.2,3.7,13.4,9.2,11.6,9,0.7,0.3,12879,2550.042,4147.038,476.523,1725.786,1184.868,1493.964,1159.11,90.153,38.637
