,female,household_size,inc_10000,inc_124999,inc_14999,inc_149999,inc_19999,inc_199999,inc_200000,inc_24999,inc_29999,inc_34999,inc_39999,inc_44999,inc_49999,inc_59999,inc_74999,inc_99999,male,median_age,median_income,population,postal_code,Unnamed: 0,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
92,1370,1.6,96,182,73,142,19,143,431,0,36,9,11,50,78,99,31,198,1137,31.3,119274,2507,10006,92,1.1,5.4,2.4,3.6,6.1,40.7,23.6,11.0,6.2,27.577,135.378,60.168,90.252,152.927,1020.349,591.652,275.77,155.434
93,2864,2.2,62,99,14,68,0,487,1368,12,18,0,12,63,16,54,191,131,3661,34.0,216037,6525,10007,93,6.5,6.6,2.4,5.7,2.0,35.3,23.5,11.9,6.0,424.125,430.65,156.6,371.925,130.5,2303.325,1533.375,776.475,391.5
94,33968,2.1,3448,2896,2095,1366,1721,2118,2562,968,1108,1080,929,1139,743,1561,2582,3249,28842,36.3,59929,62810,10009,94,16.3,13.5,2.0,7.3,3.3,36.1,14.3,4.8,2.4,10238.03,8479.35,1256.2,4585.13,2072.73,22674.41,8981.83,3014.88,1507.44
95,16343,1.8,1412,1248,626,1225,378,1611,3711,524,280,441,273,314,351,858,1210,1542,14327,35.1,97955,30670,10010,95,3.5,8.6,1.8,8.0,4.5,39.8,20.5,10.5,2.9,1073.45,2637.62,552.06,2453.6,1380.15,12206.66,6287.35,3220.35,889.43
96,26128,1.7,1352,2989,1042,1614,965,3351,7742,903,707,887,618,779,541,1283,1668,3016,26039,39.7,104238,52167,10011,96,4.6,7.0,1.7,6.7,3.0,40.3,22.2,10.4,4.3,2399.682,3651.69,886.839,3495.189,1565.01,21023.301,11581.074,5425.368,2243.181
97,12454,1.9,860,1254,386,663,464,1491,2594,465,434,431,487,324,172,782,996,1325,13691,34.1,86594,26145,10012,97,6.8,8.9,1.1,5.9,1.8,42.0,17.9,7.6,8.0,1777.86,2326.905,287.595,1542.555,470.61,10980.9,4679.955,1987.02,2091.6
98,13203,2.1,1212,766,587,610,558,806,3074,406,414,114,228,302,113,575,608,675,12862,36.4,83725,26065,10013,98,19.2,10.6,1.7,5.4,1.4,33.5,18.1,7.3,2.8,5004.48,2762.89,443.105,1407.51,364.91,8731.775,4717.765,1902.745,729.82
99,15425,1.6,683,1392,511,1182,444,2119,5021,403,459,406,380,484,522,1101,1364,1912,15172,36.7,108483,30597,10014,99,1.7,6.3,1.2,6.6,2.4,47.3,20.7,10.1,3.8,520.149,1927.611,367.164,2019.402,734.328,14472.381,6333.579,3090.297,1162.686
100,28099,1.8,1339,2971,1009,2499,497,2991,6264,819,493,697,527,961,549,1495,1590,3191,23097,32.8,105324,51196,10016,100,3.3,6.3,1.5,6.6,2.8,43.9,20.7,12.0,2.8,1689.468,3225.348,767.94,3378.936,1433.488,22475.044,10597.572,6143.52,1433.488
101,8660,1.6,586,979,126,840,176,824,2335,341,144,208,169,226,124,518,897,1415,7469,37.2,100652,16129,10017,101,2.4,5.7,2.0,6.0,3.2,43.4,24.2,9.4,3.7,387.096,919.353,322.58,967.74,516.128,6999.986,3903.218,1516.126,596.773
102,3371,1.9,189,450,157,232,57,473,704,126,109,115,91,57,40,141,279,317,3650,30.9,104635,7021,10018,102,7.8,8.7,3.9,6.9,3.5,38.9,21.2,7.6,1.4,547.638,610.827,273.819,484.449,245.735,2731.169,1488.452,533.596,98.294
103,19576,1.6,1731,2076,1180,1351,1057,2002,4742,621,750,856,548,710,623,1263,1545,2365,18818,38.8,84424,38394,10019,103,7.8,9.3,2.7,6.8,3.3,36.8,20.9,9.0,3.4,2994.732,3570.642,1036.638,2610.792,1267.002,14128.992,8024.346,3455.46,1305.396
104,24,1.6,1,1,2,0,4,1,1,2,3,2,5,3,1,2,1,1,45,50.8,91974,70,10020,104,5.2,19.6,2.1,21.7,5.2,20.6,15.5,7.2,3.1,3.64,13.72,1.47,15.19,3.64,14.42,10.85,5.04,2.17
105,23341,1.7,1048,1754,710,1549,474,2084,6819,535,498,741,458,491,821,1083,2136,1974,17521,42.7,107907,40862,10021,105,2.7,6.3,1.8,6.2,3.0,38.1,24.4,12.2,5.4,1103.274,2574.306,735.516,2533.444,1225.86,15568.422,9970.328,4985.164,2206.548
106,16611,1.6,739,1689,302,1148,641,1380,5408,416,313,481,596,201,277,703,1267,2086,13007,45.3,109019,29618,10022,106,1.6,5.7,2.0,7.7,2.2,43.4,20.6,12.7,4.1,473.888,1688.226,592.36,2280.586,651.596,12854.212,6101.308,3761.486,1214.338
107,32368,1.8,2227,3035,1237,1906,857,3458,8764,881,794,745,831,795,529,1229,2331,3174,28947,41.3,103534,61315,10023,107,3.3,6.5,1.4,6.9,2.4,33.5,28.5,12.4,5.0,2023.395,3985.475,858.41,4230.735,1471.56,20540.525,17474.775,7603.06,3065.75
108,31998,2.0,1679,2927,987,1536,560,3207,8185,636,726,774,468,1015,748,1325,1616,2694,27166,41.8,109956,59164,10024,108,4.8,6.8,1.5,7.4,1.9,34.1,25.1,13.1,5.3,2839.872,4023.152,887.46,4378.136,1124.116,20174.924,14850.164,7750.484,3135.692
109,53818,2.1,4675,3227,2199,2992,1896,3177,7473,1859,1715,1468,1277,1479,1166,2140,2951,3727,43572,38.2,68516,97390,10025,109,4.8,6.8,1.5,7.4,1.9,34.1,25.1,13.1,5.3,4674.72,6622.52,1460.85,7206.86,1850.41,33209.99,24444.89,12758.09,5161.67
110,19986,2.6,2160,948,1105,581,870,949,725,637,669,888,509,555,432,1077,1145,1074,17885,33.6,43107,37871,10026,110,17.4,23.0,2.9,12.3,5.1,21.4,13.6,2.7,1.6,6589.554,8710.33,1098.259,4658.133,1931.421,8104.394,5150.456,1022.517,605.936
111,34475,2.4,4410,1115,1425,915,1443,1044,1468,1139,1087,1356,840,787,892,1353,1581,2007,28142,30.7,37872,62617,10027,111,18.1,20.9,2.1,9.7,5.0,19.9,15.7,3.0,5.6,11333.677,13086.953,1314.957,6073.849,3130.85,12460.783,9830.869,1878.51,3506.552
112,24621,1.8,738,2308,879,1442,572,2249,6634,1085,435,508,249,552,301,1653,1675,2952,19674,40.3,104638,44295,10028,112,2.4,6.0,1.8,5.4,3.0,39.6,24.4,12.9,4.4,1063.08,2657.7,797.31,2391.93,1328.85,17540.82,10807.98,5714.055,1948.98
113,40894,2.6,4762,1425,3370,1023,2068,621,1225,1970,1474,1868,1150,1286,789,1933,1679,2095,36560,33.5,31888,77454,10029,113,26.3,26.6,3.0,8.8,5.2,17.7,7.5,3.4,1.5,20370.402,20602.764,2323.62,6815.952,4027.608,13709.358,5809.05,2633.436,1161.81
114,14903,2.4,2221,536,1125,310,668,411,420,796,697,785,447,452,387,834,878,623,13569,34.0,31925,28472,10030,114,23.0,24.5,3.2,14.8,5.7,18.3,7.9,2.0,0.7,6548.56,6975.64,911.104,4213.856,1622.904,5210.376,2249.288,569.44,199.304
115,30732,2.8,3333,872,1416,829,1521,582,652,1279,1240,1082,914,1116,897,1477,1784,1788,28360,33.0,37655,59092,10031,115,27.4,20.5,3.3,13.5,4.8,17.8,9.6,2.1,1.0,16191.208,12113.86,1950.036,7977.42,2836.416,10518.376,5672.832,1240.932,590.92
116,30294,3.0,3007,944,1872,561,1499,341,358,953,1369,1135,820,835,745,1194,1962,1953,29080,34.5,34568,59374,10032,116,35.9,18.8,3.0,11.8,4.1,17.5,6.6,1.3,1.1,21315.266,11162.312,1781.22,7006.132,2434.334,10390.45,3918.684,771.862,653.114
117,28776,3.0,2413,1111,1579,699,1458,788,782,1094,1007,1093,744,721,683,1549,1531,2002,29934,35.9,41556,58710,10033,117,30.0,18.8,3.3,10.8,5.2,18.2,8.3,2.6,2.7,17613.0,11037.48,1937.43,6340.68,3052.92,10685.22,4872.93,1526.46,1585.17
118,20422,2.8,1446,764,1253,612,967,446,295,1068,820,1030,774,758,713,1037,1214,1770,21088,36.5,41171,41510,10034,118,28.8,19.8,3.4,11.3,4.8,19.1,10.1,1.7,1.1,11954.88,8218.98,1411.34,4690.63,1992.48,7928.41,4192.51,705.67,456.61
119,17341,2.5,2910,565,1680,271,1009,291,348,668,669,546,338,676,273,768,628,751,16147,34.2,24533,33488,10035,119,36.0,23.1,2.6,11.4,4.2,13.7,6.5,1.0,1.5,12055.68,7735.728,870.688,3817.632,1406.496,4587.856,2176.72,334.88,502.32
120,9680,1.6,1278,1204,920,868,559,1063,2015,615,496,589,461,526,370,668,1148,1286,13452,38.2,66599,23132,10036,120,5.9,11.7,3.0,9.5,3.4,37.6,20.4,6.4,2.2,1364.788,2706.444,693.96,2197.54,786.488,8697.632,4718.928,1480.448,508.904
121,10362,2.0,1047,259,853,165,636,173,168,662,342,518,384,407,296,826,778,941,7015,37.6,37341,17377,10037,121,13.2,19.7,4.4,19.4,8.5,19.9,9.1,5.2,0.6,2293.764,3423.269,764.588,3371.138,1477.045,3458.023,1581.307,903.604,104.262
122,10770,2.1,1055,637,627,524,367,629,1526,548,318,225,227,268,202,461,641,792,9312,32.4,66074,20082,10038,122,17.3,10.9,2.4,7.4,2.5,34.2,14.8,8.5,2.1,3474.186,2188.938,481.968,1486.068,502.05,6868.044,2972.136,1706.97,421.722
123,14162,2.5,1816,247,905,172,867,217,206,660,405,720,739,534,377,912,790,889,12415,33.3,33595,26577,10039,123,23.0,24.1,4.1,14.1,8.2,16.7,8.1,0.9,0.7,6112.71,6405.057,1089.657,3747.357,2179.314,4438.359,2152.737,239.193,186.039
124,24525,2.8,1796,1003,1123,454,1004,501,505,1012,892,750,873,670,674,1064,1431,1828,20300,37.0,42721,44825,10040,124,28.9,18.5,3.2,10.7,4.3,20.7,10.0,1.9,1.9,12954.425,8292.625,1434.4,4796.275,1927.475,9278.775,4482.5,851.675,851.675
125,6380,2.3,449,486,218,472,69,259,783,100,103,32,84,151,245,165,423,480,5966,40.2,83066,12346,10044,125,13.6,15.7,4.7,6.4,3.3,20.9,18.2,7.7,9.5,1679.056,1938.322,580.262,790.144,407.418,2580.314,2246.972,950.642,1172.87
126,18613,1.8,709,1764,99,1069,354,1538,5677,510,515,590,400,471,236,857,1350,1728,14184,38.9,115519,32797,10065,126,1.6,7.6,1.7,6.4,2.7,38.8,21.8,13.5,5.8,524.752,2492.572,557.549,2099.008,885.519,12725.236,7149.746,4427.595,1902.226
127,14569,1.8,835,1407,293,650,240,833,4117,229,266,317,290,397,283,697,1434,1447,10280,40.9,102941,24849,10075,127,2.3,5.9,1.2,7.2,2.9,42.9,21.8,11.6,4.3,571.527,1466.091,298.188,1789.128,720.621,10660.221,5417.082,2882.484,1068.507
128,12876,2.2,1372,983,794,509,549,692,493,731,715,442,397,367,472,758,651,1150,12661,34.0,47142,25537,11101,128,20.7,21.4,3.8,11.8,5.8,23.9,9.4,2.1,1.1,5286.159,5464.918,970.406,3013.366,1481.146,6103.343,2400.478,536.277,280.907
129,16964,2.5,1293,967,553,762,766,765,484,790,805,731,643,659,705,1137,1223,1590,17565,32.3,49924,34529,11102,129,18.4,22.3,2.0,10.4,5.6,28.3,9.1,2.8,1.2,6353.336,7699.967,690.58,3591.016,1933.624,9771.707,3142.139,966.812,414.348
130,18603,2.3,1036,1331,674,784,981,802,482,748,717,852,745,745,744,1603,1863,2176,19142,34.9,55129,37745,11103,130,17.3,21.2,4.2,7.3,8.6,28.2,11.4,1.3,0.6,6529.885,8001.94,1585.29,2755.385,3246.07,10644.09,4302.93,490.685,226.47
131,13717,2.2,642,962,581,653,690,480,420,720,610,575,457,448,355,1142,1257,1510,12012,37.3,56059,25729,11104,131,12.4,25.2,4.5,7.3,9.6,27.2,10.7,2.6,0.6,3190.396,6483.708,1157.805,1878.217,2469.984,6998.288,2753.003,668.954,154.374
132,18091,2.3,1136,1523,803,1042,768,954,584,686,776,503,475,708,820,1531,1501,1919,18099,35.3,57525,36190,11105,132,15.8,20.7,3.1,11.0,6.5,28.3,11.7,2.1,0.7,5718.02,7491.33,1121.89,3980.9,2352.35,10241.77,4234.23,759.99,253.33
133,18576,2.2,2038,1263,1106,890,907,724,508,949,690,657,589,795,771,1297,1529,1991,18293,36.5,48720,36869,11106,133,19.1,21.9,3.2,9.9,6.8,23.3,11.4,2.6,1.8,7041.979,8074.311,1179.808,3650.031,2507.092,8590.477,4203.066,958.594,663.642
134,34397,1.9,1913,2876,538,2364,949,2592,7440,831,704,836,550,1224,816,1541,2682,3489,25724,38.8,96296,60121,10128,134,4.4,6.6,1.4,6.8,2.9,39.6,22.5,11.7,4.2,2645.324,3967.986,841.694,4088.228,1743.509,23807.916,13527.225,7034.157,2525.082
135,33036,3.1,3658,1229,1493,571,929,667,700,1226,772,796,684,786,543,1295,1519,2074,28055,31.2,39409,61091,11691,135,26.9,28.3,4.0,12.8,6.4,13.5,5.9,1.3,0.8,16433.479,17288.753,2443.64,7819.648,3909.824,8247.285,3604.369,794.183,488.728
136,9436,2.8,630,372,466,264,256,176,165,278,339,585,256,231,272,223,775,686,8238,35.4,43354,17674,11692,136,24.3,28.7,5.0,14.8,7.8,13.0,4.1,1.9,0.2,4294.782,5072.438,883.7,2615.752,1378.572,2297.62,724.634,335.806,35.348
137,6108,2.5,578,457,178,209,221,138,88,230,239,160,194,269,151,487,413,506,5227,39.1,50570,11335,11693,137,19.0,30.3,4.9,14.6,7.4,17.2,4.0,1.8,0.8,2153.65,3434.505,555.415,1654.91,838.79,1949.62,453.4,204.03,90.68
138,11053,2.5,373,809,420,577,320,825,641,360,376,262,385,149,194,399,738,1362,10672,43.7,76944,21725,11694,138,12.1,22.7,5.5,13.7,8.4,19.8,12.6,4.4,0.7,2628.725,4931.575,1194.875,2976.325,1824.9,4301.55,2737.35,955.9,152.075
139,2118,2.5,20,199,34,160,84,178,161,93,61,48,35,69,35,113,106,305,2105,50.3,87636,4223,11697,139,5.5,27.4,7.0,9.1,6.8,24.9,15.0,3.6,0.7,232.265,1157.102,295.61,384.293,287.164,1051.527,633.45,152.028,29.561
140,27674,2.0,1542,2230,867,1639,733,2529,5362,790,545,774,605,569,621,1196,1790,2597,26994,35.2,95369,54668,11201,140,7.8,10.8,2.1,6.7,3.2,32.8,21.3,11.7,3.6,4264.104,5904.144,1148.028,3662.756,1749.376,17931.104,11644.284,6396.156,1968.048
141,44221,2.9,2545,2226,1337,1225,1595,975,547,1615,1372,1269,1418,1538,1230,1840,2673,3528,35351,38.3,48400,79572,11203,141,15.0,35.5,3.9,16.6,8.8,13.4,5.5,0.8,0.5,11935.8,28248.06,3103.308,13208.952,7002.336,10662.648,4376.46,636.576,397.86
142,40537,3.2,1944,1669,1825,1087,2008,1181,749,1496,1542,1216,1041,1440,1000,1831,2518,2674,40426,33.6,45472,80963,11204,142,27.7,31.1,2.5,9.7,5.6,14.8,6.6,1.6,0.5,22426.751,25179.493,2024.075,7853.411,4533.928,11982.524,5343.558,1295.408,404.815
143,22244,2.8,2121,957,1104,879,956,769,1018,856,774,582,467,501,302,817,1107,1446,20758,29.3,44688,43002,11205,143,20.0,22.1,2.8,11.1,4.1,22.0,13.4,3.3,1.3,8600.4,9503.442,1204.056,4773.222,1763.082,9460.44,5762.268,1419.066,559.026
144,41963,2.9,5187,1252,3142,861,2457,399,356,2200,1533,1805,1267,1249,1315,1666,1826,1799,39562,28.5,28559,81525,11206,144,34.6,26.1,3.0,12.3,5.0,13.8,4.0,0.8,0.3,28207.65,21278.025,2445.75,10027.575,4076.25,11250.45,3261.0,652.2,244.575
145,51175,2.9,6213,1729,2447,670,1944,551,258,2031,1718,1551,1565,1555,1122,2228,2576,2721,41316,30.7,32945,92491,11207,145,29.6,33.1,3.4,13.6,7.3,9.0,3.3,0.4,0.3,27377.336,30614.521,3144.694,12578.776,6751.843,8324.19,3052.203,369.964,277.473
146,49787,3.2,5947,1346,1771,751,2331,564,356,1370,1246,1697,1583,1665,1131,2155,2615,2251,43320,30.5,35079,93107,11208,146,23.9,45.4,2.5,12.7,5.3,7.4,2.4,0.1,0.2,22252.573,42270.578,2327.675,11824.589,4934.671,6889.918,2234.568,93.107,186.214
147,38756,2.3,2232,2607,1477,1608,1633,2375,1984,1589,1483,1149,1207,1281,1271,2545,2585,3851,33867,39.0,58261,72623,11209,147,13.4,23.0,3.4,11.1,5.3,25.6,13.1,3.6,1.5,9731.482,16703.29,2469.182,8061.153,3849.019,18591.488,9513.613,2614.428,1089.345
148,34791,3.0,1583,1657,1053,1180,814,1217,950,1090,854,1252,1008,1091,1025,1840,2097,2809,30511,34.9,55429,65302,11210,148,10.8,34.0,4.2,12.0,6.4,21.1,9.0,1.7,0.8,7052.616,22202.68,2742.684,7836.24,4179.328,13778.722,5877.18,1110.134,522.416
149,47084,2.6,4345,2630,3646,1577,2475,1962,2182,1481,1775,1493,988,1216,1104,2094,3061,3498,46187,29.7,46848,93271,11211,149,20.7,20.7,3.0,11.4,3.4,26.8,10.1,2.6,1.1,19307.097,19307.097,2798.13,10632.894,3171.214,24996.628,9420.371,2425.046,1025.981
150,49642,2.7,6423,1124,3284,439,2204,458,216,1698,1998,1828,1632,1391,1083,2138,2079,2172,34878,31.9,28348,84520,11212,150,25.0,38.3,4.1,15.2,7.2,7.5,2.2,0.4,0.1,21130.0,32371.16,3465.32,12847.04,6085.44,6339.0,1859.44,338.08,84.52
151,33951,2.6,3880,929,2328,713,1613,565,234,1362,1380,1237,1413,1153,778,1798,1997,2132,28108,32.8,34794,62059,11213,151,21.2,33.0,4.5,14.9,6.4,12.7,5.9,1.0,0.4,13156.508,20479.47,2792.655,9246.791,3971.776,7881.493,3661.481,620.59,248.236
152,42629,2.7,2459,1934,2371,1437,1831,1027,673,1860,2059,1732,1707,1741,1031,2443,3207,2903,40527,40.0,43398,83156,11214,152,28.3,32.2,3.1,8.0,5.8,15.5,5.4,1.1,0.6,23533.148,26776.232,2577.836,6652.48,4823.048,12889.18,4490.424,914.716,498.936
153,35465,2.4,1321,2913,861,2501,543,3461,4846,653,485,659,521,947,903,1964,2597,3647,33426,34.5,95654,68891,11215,153,8.3,9.4,1.6,8.2,3.1,34.7,23.4,7.8,3.5,5717.953,6475.754,1102.256,5649.062,2135.621,23905.177,16120.494,5373.498,2411.185
154,28513,2.3,2876,1561,1649,771,1440,871,662,1103,1147,1210,924,1348,835,1920,2290,2225,25270,34.8,43996,53783,11216,154,17.6,24.8,2.7,13.8,6.2,21.4,10.9,1.3,1.1,9465.808,13338.184,1452.141,7422.054,3334.546,11509.562,5862.347,699.179,591.613
155,20526,2.3,1332,1435,707,1351,633,1686,2673,598,617,477,488,394,397,945,1147,1846,18261,34.9,81862,38787,11217,155,13.2,11.6,2.0,7.5,4.0,32.3,19.7,7.7,2.1,5119.884,4499.292,775.74,2909.025,1551.48,12528.201,7641.039,2986.599,814.527
156,38244,3.0,1998,2002,1736,1196,1593,1335,1183,1411,1162,1251,840,1055,924,1746,2433,3004,36514,32.7,52445,74758,11218,156,19.9,21.8,2.8,9.1,6.5,22.5,12.7,2.9,1.8,14876.842,16297.244,2093.224,6802.978,4859.27,16820.55,9494.266,2167.982,1345.644
157,48046,3.6,2542,1204,2636,769,2290,665,529,2267,1835,1950,1679,1312,937,1655,2443,1896,48925,28.1,34316,96971,11219,157,34.5,33.5,2.2,8.6,4.5,11.3,4.1,0.8,0.4,33454.995,32485.285,2133.362,8339.506,4363.695,10957.723,3975.811,775.768,387.884
158,49713,3.4,3038,1988,2499,777,2417,849,625,2436,2134,1676,1393,1870,1123,1994,2601,2622,53376,32.4,37580,103089,11220,158,49.0,20.4,1.6,6.2,4.3,12.7,4.4,0.8,0.6,50513.61,21030.156,1649.424,6391.518,4432.827,13092.303,4535.916,824.712,618.534
159,43576,2.9,4142,1666,1988,995,2016,762,412,1829,1853,1039,1265,1150,1468,2064,2568,2586,37745,31.6,39178,81321,11221,159,30.9,27.8,2.6,13.9,6.0,12.9,4.7,0.8,0.4,25128.189,22607.238,2114.346,11303.619,4879.26,10490.409,3822.087,650.568,325.284
160,17708,2.1,1367,1731,793,985,772,1066,730,558,630,832,444,550,501,1224,1669,2543,16478,33.7,63739,34186,11222,160,9.7,18.5,6.2,7.4,7.9,31.3,14.9,3.2,1.0,3316.042,6324.41,2119.532,2529.764,2700.694,10700.218,5093.714,1093.952,341.86
161,38649,2.8,2858,1727,1801,933,1777,865,824,1768,1840,1573,1474,1527,1052,2018,2414,2599,35957,38.7,41328,74606,11223,161,23.2,34.5,3.1,8.8,6.3,15.9,6.4,1.2,0.7,17308.592,25739.07,2312.786,6565.328,4700.178,11862.354,4774.784,895.272,522.242
162,23669,2.3,3548,889,2185,650,1374,454,251,1442,834,608,747,1009,472,1426,1188,1057,18866,47.3,27481,42535,11224,162,22.1,29.3,3.3,9.6,6.6,19.2,7.7,1.5,0.7,9400.235,12462.755,1403.655,4083.36,2807.31,8166.72,3275.195,638.025,297.745
163,32795,2.6,2306,1183,1696,858,1377,596,609,1345,1310,1231,1213,1450,944,1764,2403,2314,26387,33.8,42922,59182,11225,163,16.9,28.9,2.8,16.7,6.1,18.1,8.2,1.6,0.6,10001.758,17103.598,1657.096,9883.394,3610.102,10711.942,4852.924,946.912,355.092
164,53916,2.7,4214,1964,2628,1042,2259,1023,562,1877,1913,2706,1881,1950,1337,3025,3760,3410,44409,33.8,40734,98325,11226,164,20.2,33.5,3.8,15.5,5.1,14.6,5.8,1.1,0.4,19861.65,32938.875,3736.35,15240.375,5014.575,14355.45,5702.85,1081.575,393.3
165,22119,2.9,644,1427,641,1078,932,1122,945,695,648,696,598,663,564,1313,1434,1756,21810,40.2,61893,43929,11228,165,21.6,31.1,2.9,9.9,6.1,16.6,7.9,3.0,0.9,9488.664,13661.919,1273.941,4348.971,2679.669,7292.214,3470.391,1317.87,395.361
166,42605,2.6,3085,2776,2192,1963,1523,1505,1152,2015,1218,1294,1268,1127,1147,2462,2724,3441,38425,40.8,51725,81030,11229,166,15.6,29.4,3.6,8.8,7.2,22.7,9.3,2.3,1.1,12640.68,23822.82,2917.08,7130.64,5834.16,18393.81,7535.79,1863.69,891.33
167,43445,2.8,3881,2084,2157,1091,2080,1281,1124,1724,1513,1594,1359,1296,893,1910,2830,3002,40774,34.7,42170,84219,11230,167,15.6,24.9,3.5,9.9,8.8,22.4,10.8,2.4,1.7,13138.164,20970.531,2947.665,8337.681,7411.272,18865.056,9095.652,2021.256,1431.723
168,18017,2.3,1502,1488,706,1141,436,1403,2084,603,483,469,342,320,423,810,1266,1517,16120,35.3,78174,34137,11231,168,13.6,14.8,2.7,6.7,3.5,33.1,18.9,5.1,1.6,4642.632,5052.276,921.699,2287.179,1194.795,11299.347,6451.893,1740.987,546.192
169,12698,3.0,771,508,465,394,594,213,191,575,548,665,484,428,358,773,780,1077,16126,31.6,43595,28824,11232,169,35.8,22.9,3.5,10.3,4.4,13.1,7.6,1.3,1.1,10318.992,6600.696,1008.84,2968.872,1268.256,3775.944,2190.624,374.712,317.064
170,38220,2.6,4872,1302,2408,822,1889,736,492,1481,1229,1303,1208,1173,1310,1654,2001,2250,30379,33.4,34492,68599,11233,170,23.3,32.2,3.4,14.8,7.0,13.3,4.5,1.0,0.5,15983.567,22088.878,2332.366,10152.652,4801.93,9123.667,3086.955,685.99,342.995
171,50061,2.9,1729,3865,951,2355,1237,2734,1683,1487,1095,1547,1228,1427,1014,2074,3373,4190,44198,38.4,68431,94259,11234,171,11.3,29.2,4.3,14.2,9.6,19.3,9.4,1.8,0.9,10651.267,27523.628,4053.137,13384.778,9048.864,18191.987,8860.346,1696.662,848.331
172,39935,2.3,5285,2593,2366,1519,1644,1381,1327,1804,1728,1634,1147,1029,861,1732,2623,3285,34695,44.5,41639,74630,11235,172,10.3,25.1,2.4,9.6,10.1,28.4,9.4,3.3,1.4,7686.89,18732.13,1791.12,7164.48,7537.63,21194.92,7015.22,2462.79,1044.82
173,53721,3.0,2494,3052,1151,1973,1164,1951,802,1313,1326,1320,1343,1405,1229,2722,3407,4890,43496,37.1,61061,97217,11236,173,15.4,29.9,3.2,16.8,9.8,16.1,7.4,1.1,0.3,14971.418,29067.883,3110.944,16332.456,9527.266,15651.937,7194.058,1069.387,291.651
174,27017,3.3,2307,807,1145,560,1136,525,240,1146,797,1046,733,961,832,1385,1503,1598,28461,29.1,40372,55478,11237,174,51.0,18.4,2.0,7.4,3.5,12.4,4.4,0.6,0.1,28293.78,10207.952,1109.56,4105.372,1941.73,6879.272,2441.032,332.868,55.478
175,27610,2.2,1801,2330,918,1602,1154,1763,1717,1077,758,927,842,818,766,1487,2030,3013,24285,34.5,65315,51895,11238,175,10.1,14.5,2.6,11.8,5.0,30.9,18.3,4.7,2.0,5241.395,7524.775,1349.27,6123.61,2594.75,16035.555,9496.785,2439.065,1037.9
176,8123,2.0,1418,105,715,52,550,42,51,455,234,314,204,591,368,382,616,280,4756,43.4,26275,12879,11239,176,19.8,32.2,3.7,13.4,9.2,11.6,9.0,0.7,0.3,2550.042,4147.038,476.523,1725.786,1184.868,1493.964,1159.11,90.153,38.637
