,female,household_size,inc_10000,inc_124999,inc_14999,inc_149999,inc_19999,inc_199999,inc_200000,inc_24999,inc_29999,inc_34999,inc_39999,inc_44999,inc_49999,inc_59999,inc_74999,inc_99999,male,median_age,median_income,population,postal_code,Unnamed: 0,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
42,10171,2.3,266,760,287,434,353,566,420,495,285,401,392,574,222,774,982,1255,8974,36.9,63549,19145,11415,42,10.7,18.0,2.7,11.8,10.7,25.1,15.9,3.4,1.6,2048.515,3446.1,516.915,2259.11,2048.515,4805.395,3044.055,650.93,306.32
43,12983,3.6,383,482,306,302,287,419,316,426,326,300,329,317,355,815,812,952,12967,33.4,56724,25950,11416,43,26.3,28.6,3.9,11.4,7.9,14.9,4.8,1.3,0.9,6824.85,7421.7,1012.05,2958.3,2050.05,3866.55,1245.6,337.35,233.55
44,16017,3.3,672,1036,416,700,398,491,321,360,341,238,393,473,331,880,1176,1257,14987,35.8,62086,31004,11417,44,21.1,34.3,3.7,11.9,8.2,13.8,5.6,1.2,0.3,6541.844,10634.372,1147.148,3689.476,2542.328,4278.552,1736.224,372.048,93.012
45,18724,3.3,781,1094,472,539,445,680,294,477,414,527,432,492,255,1163,1274,1719,18104,34.1,60691,36828,11418,45,23.9,29.1,3.6,10.8,6.9,16.1,7.8,1.3,0.5,8801.892,10716.948,1325.808,3977.424,2541.132,5929.308,2872.584,478.764,184.14
46,24959,3.9,697,1171,491,725,721,730,394,677,629,860,548,654,445,760,1399,1606,24234,36.4,56735,49193,11419,46,26.6,39.1,2.0,9.2,5.3,13.6,3.7,0.5,0.1,13085.338,19234.463,983.86,4525.756,2607.229,6690.248,1820.141,245.965,49.193
47,25440,3.6,632,1207,425,829,567,769,639,627,574,789,768,608,705,1067,1274,2005,23009,36.5,59832,48449,11420,47,22.3,36.1,3.5,12.4,7.1,13.8,3.9,0.8,0.1,10804.127,17490.089,1695.715,6007.676,3439.879,6685.962,1889.511,387.592,48.449
48,21603,3.5,643,1120,465,746,491,833,553,773,569,622,490,551,575,816,1229,1712,20985,34.2,60897,42588,11421,48,23.6,30.5,4.6,12.7,7.3,14.8,5.5,0.7,0.3,10050.768,12989.34,1959.048,5408.676,3108.924,6303.024,2342.34,298.116,127.764
49,18568,3.3,229,1388,191,838,194,1050,582,189,416,353,423,477,437,596,893,1785,14712,35.0,84824,33280,11422,49,10.4,25.9,4.7,18.8,10.2,20.8,6.9,1.5,0.8,3461.12,8619.52,1564.16,6256.64,3394.56,6922.24,2296.32,499.2,266.24
50,16686,3.1,621,1042,369,541,441,721,476,526,317,398,379,476,573,767,1005,1296,14939,39.8,60892,31625,11423,50,21.6,27.3,3.8,14.1,6.9,17.3,5.8,2.4,0.8,6831.0,8633.625,1201.75,4459.125,2182.125,5471.125,1834.25,759.0,253.0
51,10051,3.3,265,751,90,499,203,687,428,161,175,90,193,225,186,404,698,895,9524,39.8,82301,19575,11426,51,10.7,26.8,3.3,14.3,7.6,22.8,11.5,2.1,1.0,2094.525,5246.1,645.975,2799.225,1487.7,4463.1,2251.125,411.075,195.75
52,13186,3.0,304,1039,283,551,260,488,451,310,276,354,285,297,308,699,899,1156,11691,39.9,70108,24877,11427,52,14.2,26.3,4.5,11.3,9.1,24.1,8.4,1.5,0.7,3532.534,6542.651,1119.465,2811.101,2263.807,5995.357,2089.668,373.155,174.139
53,10430,3.6,204,594,159,445,153,426,223,301,205,220,214,301,256,422,572,1004,9877,39.4,69330,20307,11428,53,19.3,31.5,2.9,12.0,10.7,17.2,5.5,0.7,0.4,3919.251,6396.705,588.903,2436.84,2172.849,3492.804,1116.885,142.149,81.228
54,14767,3.7,349,880,353,527,220,745,310,357,258,285,196,290,293,671,811,1090,13544,39.9,68890,28311,11429,54,16.1,32.1,5.4,16.9,9.5,13.3,5.5,0.8,0.3,4558.071,9087.831,1528.794,4784.559,2689.545,3765.363,1557.105,226.488,84.933
55,32038,3.1,1426,1397,834,885,1181,823,832,1037,1231,1142,814,880,699,1580,1799,2093,29649,36.0,50450,61687,11432,55,23.2,23.3,2.8,8.5,7.8,21.0,9.6,2.8,1.0,14311.384,14373.071,1727.236,5243.395,4811.586,12954.27,5921.952,1727.236,616.87
56,18336,3.2,1423,788,726,462,705,484,193,475,386,490,576,550,484,636,922,860,14485,32.4,42887,32821,11433,56,25.1,30.9,3.9,16.8,7.1,10.7,4.8,0.5,0.2,8238.071,10141.689,1280.019,5513.928,2330.291,3511.847,1575.408,164.105,65.642
57,34850,3.0,1238,1970,691,1105,920,1141,434,798,992,887,1203,873,850,1757,2074,3187,27959,36.4,59229,62809,11434,57,14.9,30.8,5.2,19.5,8.7,13.8,6.3,0.8,0.2,9358.541,19345.172,3266.068,12247.755,5464.383,8667.642,3956.967,502.472,125.618
58,26888,2.9,1193,1576,965,941,1005,806,376,1094,874,908,913,814,950,1675,2206,1991,26654,35.5,53041,53542,11435,58,22.6,27.6,3.7,9.8,7.9,18.4,7.4,1.5,1.0,12100.492,14777.592,1981.054,5247.116,4229.818,9851.728,3962.108,803.13,535.42
59,9072,3.3,229,483,169,328,217,255,171,180,218,254,236,226,245,536,649,876,8564,36.6,62114,17636,11436,59,19.3,35.0,4.8,16.5,7.1,11.7,5.2,0.3,0.2,3403.748,6172.6,846.528,2909.94,1252.156,2063.412,917.072,52.908,35.272
60,26024,2.7,3707,479,2160,168,1525,163,95,1002,877,1205,861,1115,716,1041,1269,1146,21045,31.2,26754,47069,10451,60,37.5,26.2,3.6,13.1,5.1,9.3,4.0,0.8,0.3,17650.875,12332.078,1694.484,6166.039,2400.519,4377.417,1882.76,376.552,141.207
61,39796,3.0,4157,767,3011,186,2682,143,54,2098,1734,1521,1268,1170,1153,1909,1504,1344,35135,30.4,25979,74931,10452,61,36.5,28.1,2.9,14.1,7.6,7.6,2.4,0.8,0.0,27349.815,21055.611,2172.999,10565.271,5694.756,5694.756,1798.344,599.448,0.0
62,42134,3.0,5308,551,3190,177,2500,231,69,1620,1907,1525,1180,1047,1073,1733,1644,1869,37659,30.7,25470,79793,10453,62,34.6,29.1,4.4,11.4,8.4,8.4,2.4,1.0,0.4,27608.378,23219.763,3510.892,9096.402,6702.612,6702.612,1915.032,797.93,319.172
63,19938,3.0,3172,248,1849,44,1154,200,68,1181,793,605,518,462,412,592,564,605,18151,29.3,20232,38089,10454,63,44.6,27.3,3.0,10.8,5.0,6.8,1.7,0.4,0.2,16987.694,10398.297,1142.67,4113.612,1904.45,2590.052,647.513,152.356,76.178
64,20618,2.8,3217,331,1634,114,1277,77,24,837,851,871,889,384,474,813,909,526,17958,28.7,22609,38576,10455,64,43.8,28.0,4.4,10.7,4.5,7.2,1.2,0.2,0.1,16896.288,10801.28,1697.344,4127.632,1735.92,2777.472,462.912,77.152,38.576
65,46411,3.0,6341,741,3341,313,2737,367,41,2356,1802,1659,1224,1294,1305,1754,1554,1520,41312,30.3,23452,87723,10456,65,39.6,27.2,3.1,15.1,4.9,7.6,2.0,0.5,0.1,34738.308,23860.656,2719.413,13246.173,4298.427,6666.948,1754.46,438.615,87.723
66,37449,3.0,4861,714,2535,211,1931,247,74,1974,1616,1266,1168,1195,768,1248,1390,1372,32833,29.0,24949,70282,10457,66,38.1,26.1,4.2,13.8,5.9,8.4,2.5,0.7,0.2,26777.442,18343.602,2951.844,9698.916,4146.638,5903.688,1757.05,491.974,140.564
67,39484,2.8,5155,975,2946,393,2436,290,218,2271,1346,1307,1081,1120,864,1402,1661,1864,35375,29.2,24618,74859,10458,67,36.5,27.9,3.0,14.6,6.2,7.7,3.1,0.8,0.2,27323.535,20885.661,2245.77,10929.414,4641.258,5764.143,2320.629,598.872,149.718
68,25229,3.1,3628,410,1661,177,1424,140,53,1087,1118,1033,499,819,560,1013,1031,749,22748,28.6,24461,47977,10459,68,42.5,25.2,3.8,11.4,6.4,7.6,2.3,0.3,0.4,20390.225,12090.204,1823.126,5469.378,3070.528,3646.252,1103.471,143.931,191.908
69,29706,2.9,4468,494,2334,252,1973,111,104,1491,1249,899,961,827,448,1040,1133,1344,26378,30.0,22307,56084,10460,69,40.2,27.4,3.1,11.5,6.6,8.6,2.1,0.2,0.1,22545.768,15367.016,1738.604,6449.66,3701.544,4823.224,1177.764,112.168,56.084
70,26503,2.6,1667,1828,1065,1188,903,765,572,893,856,1297,633,966,986,1523,1932,2256,25227,38.2,52347,51730,10461,70,19.9,29.6,4.2,14.3,6.7,15.9,6.7,1.4,1.3,10294.27,15312.08,2172.66,7397.39,3465.91,8225.07,3465.91,724.22,672.49
71,41213,2.7,3270,1739,1948,921,1438,693,318,1641,1592,1481,1228,1593,1490,2388,3321,3847,36156,35.3,45864,77369,10462,71,23.5,26.7,3.7,13.0,9.2,15.7,6.2,1.4,0.6,18181.715,20657.523,2862.653,10057.97,7117.948,12146.933,4796.878,1083.166,464.214
72,38236,2.5,2242,2216,1377,1163,1290,1682,1525,1698,1330,1285,1157,1311,1040,1939,2940,3066,32184,38.8,54258,70420,10463,72,19.7,20.3,3.5,13.8,6.3,17.8,12.3,3.6,2.6,13872.74,14295.26,2464.7,9717.96,4436.46,12534.76,8661.66,2535.12,1830.92
73,2432,2.1,185,222,89,229,45,164,62,132,95,0,30,74,41,194,271,229,1816,48.7,70078,4248,10464,73,7.2,24.9,3.4,14.6,7.0,18.1,20.3,2.6,2.0,305.856,1057.752,144.432,620.208,297.36,768.888,862.344,110.448,84.96
74,23285,2.8,1016,1774,986,967,899,1098,854,724,501,633,466,459,589,1075,1343,2188,21577,40.1,65450,44862,10465,74,19.8,31.0,5.2,13.0,7.1,15.1,6.5,1.4,0.9,8882.676,13907.22,2332.824,5832.06,3185.202,6774.162,2916.03,628.068,403.758
75,39180,3.1,2637,1405,1488,765,1459,860,343,1176,1127,1435,1121,1030,741,1882,2149,2977,31429,35.9,44012,70609,10466,75,21.4,31.4,3.6,14.4,8.3,14.6,5.4,0.7,0.2,15110.326,22171.226,2541.924,10167.696,5860.547,10308.914,3812.886,494.263,141.218
76,52098,2.8,5720,1925,2913,886,2570,484,243,1906,2117,1769,1876,1293,1535,3115,2877,3567,46656,32.4,36048,98754,10467,76,27.2,28.4,4.0,14.9,7.0,12.7,4.2,1.0,0.6,26861.088,28046.136,3950.16,14714.346,6912.78,12541.758,4147.668,987.54,592.524
77,37853,3.0,3593,836,2176,391,1734,271,215,1437,1614,1615,1350,1114,1220,2233,1895,1986,33969,32.0,33776,71822,10468,77,31.8,29.8,2.8,15.3,4.5,11.3,3.5,0.9,0.2,22839.396,21402.956,2011.016,10988.766,3231.99,8115.886,2513.77,646.398,143.644
78,39237,3.2,2097,1918,952,1370,1091,1281,674,1141,815,1045,1013,798,854,1472,2506,2805,32606,36.2,57776,71843,10469,78,19.7,26.3,4.5,15.0,9.2,16.2,7.3,1.1,0.8,14153.071,18894.709,3232.935,10776.45,6609.556,11638.566,5244.539,790.273,574.744
